RA,Decl,score,star,gaussians,pulses,triplets,spikes,comment,qpix
5.20390,4.41400,NA,24205 (G0),0,0,0,0,"planetary system, no signals or not observed",
5.62607,20.73662,NA,26381 (G4IV-V),0,0,0,0,"planetary system, no signals or not observed",
5.67496,6.06537,NA,26664 (K0),0,0,0,0,"planetary system, no signals or not observed",
5.78392,1.17134,NA,27253 (G4V),0,0,0,0,"planetary system, no signals or not observed",
5.45510,27.00710,-7201,25450 (F8),7,3,19,"95, 6, 26",,
5.48291,27.06996,-803124,none,325,296,52,"2060, 476, 458",best score,
5.64110,22.50800,-986,26484 (A0),0,2,19,"18, 0, 4",,24768809
5.70260,19.39210,-12675,26826 (A0),26,28,"648, 0, 77","132, 5, 36",,24734026
5.50050,27.11190,-3720,none,9,5,"170, 1, 13","37, 3, 9",triplet barycentric multiplet,25045289
5.50780,27.13280,-56269,none,14,14,"385, 1, 75","424, 34, 116",triplet barycentric multiplet,25045296
5.51660,27.13280,-77142,none,9,21,"379, 1, 84","498, 38, 152",triplet barycentric multiplet,25045271
5.70260,19.43170,-17099,none,38,46,"992, 1, 115","156, 7, 41",triplet barycentric multiplet,24734049
5.70410,19.41190,-18559,none,45,52,"1043, 1, 120","162, 8, 47",triplet barycentric multiplet,24734027
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
